,ら戳,Θユ鸭,Θユ髅B,}L基,程蔼基,程C基,ΜL基,害^基t,Θユ掸计
0,110/08/02,"7,376,244","1,011,342,122",137.00,138.00,136.05,137.90,+1.85,"5,273"
1,110/08/03,"6,224,382","859,255,808",137.95,138.45,137.70,138.45,+0.55,"5,115"
2,110/08/04,"5,642,671","784,584,423",138.65,139.30,138.45,139.25,+0.80,"5,413"
3,110/08/05,"5,840,987","813,087,525",139.25,139.45,138.85,139.00,-0.25,"6,400"
4,110/08/06,"4,031,604","558,390,394",138.90,139.00,137.80,138.80,-0.20,"5,590"
5,110/08/09,"5,186,503","714,762,861",138.20,138.55,136.70,138.40,-0.40,"5,861"
6,110/08/10,"2,676,946","369,136,949",138.45,138.50,137.50,137.65,-0.75,"6,027"
7,110/08/11,"3,867,154","529,729,666",137.35,137.65,136.60,137.20,-0.45,"7,131"
8,110/08/12,"2,376,688","325,349,900",137.20,137.25,136.50,136.95,-0.25,"4,386"
9,110/08/13,"7,816,273","1,061,673,383",136.60,136.85,135.55,135.65,-1.30,"16,810"
10,110/08/16,"11,135,323","1,506,240,702",135.50,135.75,134.90,135.35,-0.30,"14,444"
11,110/08/17,"13,757,654","1,854,533,694",135.40,135.50,134.30,134.35,-1.00,"20,363"
12,110/08/18,"22,162,774","2,958,372,270",133.60,134.95,132.45,134.90,+0.55,"20,199"
13,110/08/19,"28,091,032","3,719,709,802",134.50,134.50,131.60,131.80,-3.10,"41,771"
14,110/08/20,"16,501,498","2,163,648,386",132.20,132.80,130.20,130.75,-1.05,"20,673"
15,110/08/23,"6,086,614","814,769,062",132.25,134.45,132.15,134.35,+3.60,"7,827"
16,110/08/24,"5,086,550","685,956,249",135.20,135.35,134.60,134.75,+0.40,"4,866"
17,110/08/25,"7,031,858","954,442,277",135.15,136.10,135.15,136.05,+1.30,"6,772"
18,110/08/26,"7,276,078","997,127,716",137.45,138.00,136.35,137.00,+0.95,"6,899"
19,110/08/27,"16,875,047","2,328,482,421",136.70,138.50,136.45,138.15,+1.15,"9,673"
20,110/08/30,"21,974,199","3,054,444,066",138.65,139.50,138.45,139.50,+1.35,"15,333"
21,110/08/31,"16,604,451","2,314,461,154",139.40,140.35,138.10,140.35,+0.85,"12,191"
